batch_no,medicine_id,purchase_date,expiry_date,opening_stock,stock_in_hand,unit_cost,supplier_name,inventory_value
MED001-B04,MED001,2025-07-29,2026-01-19,309,0,223.55,Apex Wholesale,0.00
MED001-B01,MED001,2025-10-04,2026-05-26,294,0,223.55,CareHub Distributors,0.00
MED001-B05,MED001,2025-04-24,2026-08-26,756,0,223.55,MediBridge Supply,0.00
MED001-B03,MED001,2026-01-17,2027-03-31,843,462,223.55,Apex Wholesale,103280.10
MED001-B02,MED001,2026-02-16,2027-08-14,362,362,223.55,CareHub Distributors,80925.10
MED002-B02,MED002,2025-06-01,2026-02-21,832,0,273.21,Apex Wholesale,0.00
MED002-B03,MED002,2025-04-09,2026-08-09,386,0,273.21,CareHub Distributors,0.00
MED002-B04,MED002,2025-07-04,2026-09-11,740,0,273.21,Prime MedSupply,0.00
MED002-B01,MED002,2025-11-07,2027-04-11,819,740,273.21,Prime MedSupply,202175.40
MED003-B03,MED003,2025-04-26,2026-05-02,363,0,151.85,Apex Wholesale,0.00
MED003-B01,MED003,2025-12-21,2026-07-30,242,0,151.85,Urban Pharma Chain,0.00
MED003-B02,MED003,2026-02-12,2027-05-17,404,162,151.85,MediBridge Supply,24599.70
MED004-B01,MED004,2025-05-21,2026-02-04,597,0,343.12,MediBridge Supply,0.00
MED004-B03,MED004,2025-09-09,2026-09-21,531,0,343.12,Wellroute Healthcare,0.00
MED004-B05,MED004,2026-01-23,2027-05-10,468,291,343.12,Urban Pharma Chain,99847.92
MED004-B04,MED004,2026-02-25,2027-05-27,600,600,343.12,Urban Pharma Chain,205872.00
MED004-B02,MED004,2026-03-29,2028-03-08,417,417,343.12,CareHub Distributors,143081.04
MED005-B02,MED005,2025-10-16,2026-05-11,435,0,389.45,Prime MedSupply,0.00
MED005-B04,MED005,2025-04-02,2027-01-06,332,0,389.45,Urban Pharma Chain,0.00
MED005-B03,MED005,2025-10-02,2027-04-13,436,0,389.45,Prime MedSupply,0.00
MED005-B01,MED005,2025-11-23,2027-04-17,615,373,389.45,Prime MedSupply,145264.85
MED006-B02,MED006,2025-07-02,2026-04-08,555,0,358.73,Apex Wholesale,0.00
MED006-B01,MED006,2025-08-25,2026-06-02,844,94,358.73,Apex Wholesale,33720.62
MED006-B04,MED006,2026-03-07,2027-02-13,712,712,358.73,Apex Wholesale,255415.76
MED006-B03,MED006,2025-11-23,2027-04-29,268,268,358.73,MediBridge Supply,96139.64
MED007-B03,MED007,2025-06-25,2026-01-24,483,0,305.15,Urban Pharma Chain,0.00
MED007-B02,MED007,2025-05-07,2026-07-02,688,0,305.15,Urban Pharma Chain,0.00
MED007-B04,MED007,2025-06-23,2027-02-01,532,0,305.15,Apex Wholesale,0.00
MED007-B01,MED007,2026-01-05,2027-03-25,769,595,305.15,Apex Wholesale,181564.25
MED008-B02,MED008,2025-04-14,2026-01-31,254,0,68.79,CareHub Distributors,0.00
