sale_id,sale_date,medicine_id,batch_no,quantity_sold,unit_price,discount_pct,total_amount,payment_mode
SALE001740,2025-04-23,MED022,MED022-B04,7,158.16,0,1107.12,Card
SALE003998,2025-04-23,MED074,MED074-B05,3,121.75,0,365.25,Cash
SALE005133,2025-04-23,MED030,MED030-B03,3,255.75,0,767.25,UPI
SALE005985,2025-04-23,MED085,MED085-B02,6,525.79,10,2839.27,Cash
SALE007085,2025-04-23,MED057,MED057-B03,8,458.32,5,3483.23,Card
SALE008929,2025-04-23,MED081,MED081-B05,2,407.87,0,815.74,Card
SALE009104,2025-04-23,MED056,MED056-B03,7,348.09,0,2436.63,UPI
SALE009461,2025-04-23,MED020,MED020-B02,4,156.12,0,624.48,UPI
SALE009681,2025-04-23,MED056,MED056-B03,6,375.62,0,2253.72,Cash
SALE011140,2025-04-23,MED086,MED086-B02,2,739.16,0,1478.32,Cash
SALE011375,2025-04-23,MED078,MED078-B03,2,411.63,0,823.26,Cash
SALE011782,2025-04-23,MED018,MED018-B03,4,643.68,12,2265.75,Cash
SALE012533,2025-04-23,MED002,MED002-B03,5,595.57,12,2620.51,Cash
SALE013750,2025-04-23,MED012,MED012-B01,5,313.39,12,1378.92,UPI
SALE018347,2025-04-23,MED030,MED030-B03,1,238.78,0,238.78,Card
SALE018860,2025-04-23,MED002,MED002-B03,8,534.23,0,4273.84,UPI
SALE019176,2025-04-23,MED056,MED056-B03,8,385.47,12,2713.71,UPI
SALE020321,2025-04-23,MED040,MED040-B03,4,540.61,5,2054.32,Cash
SALE022556,2025-04-23,MED030,MED030-B03,1,242.56,0,242.56,Cash
SALE027106,2025-04-23,MED030,MED030-B03,6,264.18,0,1585.08,UPI
SALE004525,2025-04-24,MED052,MED052-B04,3,592.54,0,1777.62,Cash
SALE004838,2025-04-24,MED028,MED028-B05,3,46.19,0,138.57,UPI
SALE005203,2025-04-24,MED037,MED037-B02,5,340.18,10,1530.81,Cash
SALE005245,2025-04-24,MED033,MED033-B02,2,31.39,10,56.50,Cash
SALE006342,2025-04-24,MED056,MED056-B03,2,354.74,0,709.48,Cash
SALE006631,2025-04-24,MED074,MED074-B05,3,122.20,0,366.60,UPI
SALE006841,2025-04-24,MED054,MED054-B04,3,343.46,0,1030.38,UPI
SALE007471,2025-04-24,MED030,MED030-B03,7,237.92,12,1465.59,UPI
SALE007929,2025-04-24,MED074,MED074-B05,3,118.94,10,321.14,UPI
SALE013551,2025-04-24,MED052,MED052-B04,7,586.14,12,3610.62,UPI
SALE015655,2025-04-24,MED091,MED091-B03,6,436.57,0,2619.42,Cash
SALE016034,2025-04-24,MED028,MED028-B04,6,47.77,0,286.62,UPI
SALE017140,2025-04-24,MED039,MED039-B03,6,542.89,10,2931.61,Cash
SALE017302,2025-04-24,MED080,MED080-B01,8,357.74,0,2861.92,Card
SALE018802,2025-04-24,MED080,MED080-B01,4,355.92,0,1423.68,UPI
SALE020377,2025-04-24,MED028,MED028-B04,8,47.83,0,382.64,UPI
SALE022594,2025-04-24,MED078,MED078-B03,2,442.82,10,797.08,UPI
SALE000544,2025-04-25,MED018,MED018-B03,3,606.30,0,1818.90,UPI
SALE000693,2025-04-25,MED001,MED001-B05,4,415.54,12,1462.70,UPI
SALE001540,2025-04-25,MED033,MED033-B02,6,31.18,0,187.08,Cash
SALE002113,2025-04-25,MED020,MED020-B02,7,149.14,0,1043.98,UPI
SALE003514,2025-04-25,MED008,MED008-B02,5,120.84,0,604.20,Card
SALE003827,2025-04-25,MED095,MED095-B03,1,753.31,0,753.31,Card
SALE004355,2025-04-25,MED086,MED086-B02,8,732.17,12,5154.48,Cash
SALE004667,2025-04-25,MED020,MED020-B02,7,137.78,0,964.46,Cash
SALE004768,2025-04-25,MED082,MED082-B03,2,155.96,0,311.92,UPI
SALE005077,2025-04-25,MED012,MED012-B01,1,296.30,10,266.67,UPI
SALE005797,2025-04-25,MED005,MED005-B04,2,787.15,0,1574.30,UPI
SALE006367,2025-04-25,MED082,MED082-B03,6,169.00,0,1014.00,Card
SALE006434,2025-04-25,MED008,MED008-B02,8,122.50,0,980.00,Card
SALE007906,2025-04-25,MED018,MED018-B03,2,629.42,5,1195.90,Card
SALE009492,2025-04-25,MED059,MED059-B02,6,290.71,0,1744.26,UPI
SALE016227,2025-04-25,MED052,MED052-B04,7,543.32,12,3346.85,Cash
SALE017025,2025-04-25,MED028,MED028-B04,5,47.88,0,239.40,Cash
SALE018725,2025-04-25,MED044,MED044-B02,5,71.89,10,323.50,Cash
SALE020462,2025-04-25,MED018,MED018-B03,2,624.13,0,1248.26,Card
SALE002326,2025-04-26,MED048,MED048-B04,4,212.78,0,851.12,Card
SALE002364,2025-04-26,MED033,MED033-B02,1,34.00,0,34.00,Card
SALE003681,2025-04-26,MED095,MED095-B03,5,725.79,0,3628.95,Card
SALE004852,2025-04-26,MED074,MED074-B05,3,111.01,10,299.73,Card
SALE005554,2025-04-26,MED033,MED033-B02,7,31.24,0,218.68,Cash
SALE005777,2025-04-26,MED018,MED018-B03,3,632.10,10,1706.67,UPI
SALE005876,2025-04-26,MED059,MED059-B02,2,281.10,0,562.20,Cash
SALE007344,2025-04-26,MED085,MED085-B02,2,491.30,0,982.60,UPI
SALE009404,2025-04-26,MED078,MED078-B03,6,434.03,12,2291.68,Cash
SALE011195,2025-04-26,MED059,MED059-B02,8,287.67,0,2301.36,Card
SALE012400,2025-04-26,MED001,MED001-B05,6,384.07,0,2304.42,UPI
SALE012548,2025-04-26,MED030,MED030-B03,5,254.31,5,1207.97,Card
SALE012901,2025-04-26,MED091,MED091-B03,8,392.68,12,2764.47,UPI
SALE014977,2025-04-26,MED012,MED012-B01,4,314.02,12,1105.35,Cash
SALE016267,2025-04-26,MED070,MED070-B01,4,317.06,0,1268.24,Card
SALE017009,2025-04-26,MED068,MED068-B02,8,313.80,0,2510.40,Cash
SALE018626,2025-04-26,MED081,MED081-B05,1,416.45,0,416.45,Card
